Ubicación,Código de moneda,CPV prom.,CPM prom.,Impr.,Interacciones,Porcentaje de interacción,Costo prom.,Costo,Todas las conv.,Clics,CTR,Porcentaje de conv.,Conversiones,Costo/conv.
Total: Cuenta,ARS,"1,08","97,91",2897798473,24854115,"0,86%","11,41","283709614,6","3264315,65",12887485,"0,44%","3,52%","875141,23","324,19"
Total: Ubicaciones,ARS,"1,08","100,26",2757800810,24227869,"0,88%","11,41","276500794,1","3231468,56",12375779,"0,45%","3,53%","854569,11","323,56"
Total: Anuncio gráfico,ARS,"4,29","67,62",2741248771,6400890,"0,23%","28,96","185365222,2","833952,55",6391706,"0,23%","4,86%","311178,99","595,69"
Total: Búsqueda,ARS,0,"2027,57",19919098,3234072,"16,24%","12,49","40387436,53","2085289,54",3234072,"16,24%","13,02%","421205,83","95,89"
Total: Generación de demanda,ARS,0,"333,31",86756648,3467430,4%,"8,34","28917201,14","206150,49",2398112,"2,76%","2,77%","96044,33","301,08"
Total: Máximo rendimiento,ARS,"2,46","1003,76",17414335,1498421,"8,6%","11,67","17479839,92","82299,84",665270,"3,82%","2,07%","31003,78","563,8"
"Ciudad de Córdoba, Provincia de Córdoba",ARS,0,"52,88",252515919,347523,"0,14%","38,42","13352643,02","21804,68",347523,"0,14%","1,34%","4670,68","2858,82"
Total: Video,ARS,"0,98","426,36",24749603,10100747,"40,81%","1,04","10552125,98","26701,43",45770,"0,18%","0,09%","8897,43","1185,97"
"Ciudad de Córdoba, Provincia de Córdoba",ARS,"2,63","1072,02",6731823,480930,"7,14%","15,01","7216638,77","29010,02",236021,"3,51%","2,48%","11916,36","605,61"
"Rosario, Provincia de Santa Fe",ARS,0,"54,66",131829747,167301,"0,13%","43,07","7206001,55","5449,08",167301,"0,13%","0,7%","1173,08","6142,83"
"San Miguel de Tucumán, Provincia de Tucumán",ARS,0,"50,97",109696705,163038,"0,15%","34,3","5591458,17","8205,26",163038,"0,15%","1,52%","2475,26","2258,94"
"Ciudad de Córdoba, Provincia de Córdoba",ARS,0,"1823,53",2944721,578828,"19,66%","9,28","5369786,14","659730,47",578828,"19,66%","7,75%",44859,"119,7"
Salta,ARS,0,"53,3",100007676,127820,"0,13%","41,7","5330117,6","6303,44",127820,"0,13%","1,19%","1520,44","3505,65"
"3.0|km|Villa Allende, Córdoba",ARS,0,"4410,67",1150726,262692,"22,83%","19,32","5075468,07","58282,85",262692,"22,83%","4,97%","13061,3","388,59"
"5.0|km|Hiper Super, Avenida Sabattini, AUX, Córdoba",ARS,0,"110,23",41212310,49030,"0,12%","92,66","4542936,88","381,53",49030,"0,12%","0,05%","22,53","201633,17"
"7.0|km|Hipermercados Super cerca de Mendoza, Capital, Mendoza",ARS,0,"110,2",38723467,48533,"0,13%","87,93","4267370,86","345,34",48533,"0,13%","0,04%","21,34","199974,81"
"3.0|km|Super, Boulevard Oroño, Rosario, Santa Fe",ARS,0,"109,81",36326225,42758,"0,12%","93,29","3989100,34","151,48",42758,"0,12%","0,03%","12,48","319678,33"
"7.0|km|Super S.A. Sucursal: SALTA – Hipermercado Salta, Salta",ARS,0,"111,04",34882897,42968,"0,12%","90,15","3873561,76","172,88",42968,"0,12%","0,02%","7,88","491533,82"
"Resistencia, Provincia del Chaco",ARS,0,"53,96",70109352,93270,"0,13%","40,56","3783276,86","3017,5",93270,"0,13%","0,49%","452,5","8360,92"
"4.0|km|Paseo Super, Scalabrini Ortiz Norte, San Juan",ARS,0,"113,4",29864338,42068,"0,14%","80,5","3386564,14","283,68",42068,"0,14%","0,03%","14,68","230740,51"
"San Miguel de Tucumán, Provincia de Tucumán",ARS,0,"2921,35",1102807,242769,"22,01%","13,27","3221689,01","136287,46",242769,"22,01%","5,93%","14388,67","223,9"
"Mendoza, Provincia de Mendoza",ARS,0,"56,35",56486780,81352,"0,14%","39,13","3183288,3","5852,21",81352,"0,14%","1,12%","914,21","3482,01"
"5.0|km|Paseo Super Lugones, Córdoba",ARS,0,"115,71",27134205,30315,"0,11%","103,57","3139616,67","130,28",30315,"0,11%","0,03%","9,28","338210,55"
"7.0|km|Hipermercado Super Resistencia, Resistencia, Chaco",ARS,0,"113,38",27488607,34743,"0,13%","89,71","3116719,65","82,91",34743,"0,13%","0,01%","3,91","798054,91"
"Rosario, Provincia de Santa Fe",ARS,0,"2136,93",1453021,226224,"15,57%","13,73","3105011,09","112075,95",226224,"15,57%","3,71%","8393,29","369,94"
4.0|km|Hipermercados Super cerca de Tucumán,ARS,0,"112,79",26725583,36495,"0,14%","82,6","3014505,76","162,89",36495,"0,14%","0,01%","3,89","775007,94"
"6.0|km|Hiper Super, EIC, Avenida Tomás Guido, Posadas, Misiones",ARS,0,"117,84",25350709,35644,"0,14%","83,81","2987202,28","112,44",35644,"0,14%","0,02%","8,44","353916,69"
"5.0|km|Hipermercado Super, Agrim Enrique Bodereau, Córdoba",ARS,0,"118,99",24018006,27910,"0,12%","102,39","2857841,16","93,93",27910,"0,12%","0,04%","9,93","287871,27"
Posadas,ARS,0,"61,7",39709689,57488,"0,14%","42,62","2450127,22","2561,96",57488,"0,14%","0,06%","33,96","72137,18"
"Ciudad de Córdoba, Provincia de Córdoba",ARS,0,"73,23",30381022,134494,"0,44%","16,54","2224759,17","7118,96",134494,"0,44%","2,92%","3930,96","565,96"
"2.0|km|Barrio Vinalar, Doctor Santiago Corbalan, Santiago del Estero",ARS,0,"116,94",18499516,29117,"0,16%","74,3","2163365,85","66,03",29117,"0,16%","0,03%","10,03","215596,66"
